Ingredient code,Ingredient despcription,Nutrient code,Nutrient description ,Nutrient value
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",601,Cholesterol,12
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",606,"Fatty acids, total saturated",2.104
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",645,"Fatty acids, total monounsaturated",0.99
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",646,"Fatty acids, total polyunsaturated",0.124
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",204,Total Fat,1.9
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",601,Cholesterol,8
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",606,"Fatty acids, total saturated",1.177
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",645,"Fatty acids, total monounsaturated",0.455
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",646,"Fatty acids, total polyunsaturated",0.089
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",204,Total Fat,1.11
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",601,Cholesterol,5
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",606,"Fatty acids, total saturated",0.616
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",645,"Fatty acids, total monounsaturated",0.3
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",646,"Fatty acids, total polyunsaturated",0.049
1106,"Milk, goat, fluid, with added vitamin D",204,Total Fat,4.14
1106,"Milk, goat, fluid, with added vitamin D",601,Cholesterol,11
1106,"Milk, goat, fluid, with added vitamin D",606,"Fatty acids, total saturated",2.667
1106,"Milk, goat, fluid, with added vitamin D",645,"Fatty acids, total monounsaturated",1.109
1106,"Milk, goat, fluid, with added vitamin D",646,"Fatty acids, total polyunsaturated",0.149
1107,"Milk, human, mature, fluid (For Reference Only)",204,Total Fat,4.38
1107,"Milk, human, mature, fluid (For Reference Only)",601,Cholesterol,14
1107,"Milk, human, mature, fluid (For Reference Only)",606,"Fatty acids, total saturated",2.009
1107,"Milk, human, mature, fluid (For Reference Only)",645,"Fatty acids, total monounsaturated",1.658
1107,"Milk, human, mature, fluid (For Reference Only)",646,"Fatty acids, total polyunsaturated",0.497
1113,"Whey, acid, dried",204,Total Fat,0.54
1113,"Whey, acid, dried",601,Cholesterol,3
1113,"Whey, acid, dried",606,"Fatty acids, total saturated",0.342
1113,"Whey, acid, dried",645,"Fatty acids, total monounsaturated",0.149
1113,"Whey, acid, dried",646,"Fatty acids, total polyunsaturated",0.021
1115,"Whey, sweet, dried",204,Total Fat,1.07
1115,"Whey, sweet, dried",601,Cholesterol,6
1115,"Whey, sweet, dried",606,"Fatty acids, total saturated",0.684
1115,"Whey, sweet, dried",645,"Fatty acids, total monounsaturated",0.297
1115,"Whey, sweet, dried",646,"Fatty acids, total polyunsaturated",0.034
1116,"Yogurt, plain, whole milk",204,Total Fat,3.25
1116,"Yogurt, plain, whole milk",601,Cholesterol,13
1116,"Yogurt, plain, whole milk",606,"Fatty acids, total saturated",2.096
1116,"Yogurt, plain, whole milk",645,"Fatty acids, total monounsaturated",0.893
1116,"Yogurt, plain, whole milk",646,"Fatty acids, total polyunsaturated",0.092
1117,"Yogurt, plain, low fat",204,Total Fat,1.55
1117,"Yogurt, plain, low fat",601,Cholesterol,6
1117,"Yogurt, plain, low fat",606,"Fatty acids, total saturated",1
1117,"Yogurt, plain, low fat",645,"Fatty acids, total monounsaturated",0.426
1117,"Yogurt, plain, low fat",646,"Fatty acids, total polyunsaturated",0.044
1118,"Yogurt, plain, skim milk",204,Total Fat,0.18
1118,"Yogurt, plain, skim milk",601,Cholesterol,2
1118,"Yogurt, plain, skim milk",606,"Fatty acids, total saturated",0.116
1118,"Yogurt, plain, skim milk",645,"Fatty acids, total monounsaturated",0.049
1118,"Yogurt, plain, skim milk",646,"Fatty acids, total polyunsaturated",0.005
1123,"Eggs, Grade A, Large, egg whole",204,Total Fat,9.96
1123,"Eggs, Grade A, Large, egg whole",601,Cholesterol,411
1123,"Eggs, Grade A, Large, egg whole",606,"Fatty acids, total saturated",3.2
1123,"Eggs, Grade A, Large, egg whole",645,"Fatty acids, total monounsaturated",3.63
1123,"Eggs, Grade A, Large, egg whole",646,"Fatty acids, total polyunsaturated",1.82
1124,"Eggs, Grade A, Large, egg white",204,Total Fat,0
1124,"Eggs, Grade A, Large, egg white",601,Cholesterol,0
1124,"Eggs, Grade A, Large, egg white",606,"Fatty acids, total saturated",0
1124,"Eggs, Grade A, Large, egg white",645,"Fatty acids, total monounsaturated",0
1124,"Eggs, Grade A, Large, egg white",646,"Fatty acids, total polyunsaturated",0
